股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
002045.SZ,国光电器,11.55,-3.428,31485.5,1439,33,002045
300198.SZ,纳川股份,1.04,-10.345,31470.5,1440,33,300198
300499.SZ,高澜股份,10.44,-5.177,31405.5,1441,33,300499
002645.SZ,华宏科技,7.14,-9.849,31360.0,1442,33,002645
688578.SH,艾力斯,63.55,2.170,31306.5,1443,17,688578
300460.SZ,惠伦晶体,7.39,-5.980,31303.0,1444,33,300460
603936.SH,博敏电子,6.98,-1.966,31244.0,1445,17,603936
603004.SH,鼎龙科技,18.00,-4.863,31241.5,1446,17,603004
300155.SZ,安居宝,3.74,-6.500,31189.0,1447,33,300155
603260.SH,合盛硅业,50.01,0.241,31185.5,1448,17,603260
301230.SZ,泓博医药,29.57,-7.100,31181.0,1449,33,301230
600350.SH,山东高速,9.06,2.721,31174.5,1450,17,600350
600506.SH,统一股份,12.14,-2.958,31146.5,1451,17,600506
002517.SZ,恺英网络,10.44,-0.666,31129.5,1452,33,002517
605168.SH,三人行,43.70,-2.259,31106.0,1453,17,605168
603187.SH,海容冷链,12.23,-5.047,31084.5,1454,17,603187
605196.SH,华通线缆,11.05,-3.325,31083.0,1455,17,605196
300727.SZ,润禾材料,22.05,-2.863,31010.0,1456,33,300727
000516.SZ,国际医学,5.26,-4.364,30996.5,1457,33,000516
300663.SZ,科蓝软件,9.27,-6.174,30938.5,1458,33,300663
688691.SH,灿芯股份,56.49,-0.581,30932.5,1459,17,688691
300166.SZ,东方国信,6.02,-5.346,30917.5,1460,33,300166
000897.SZ,津滨发展,2.15,-4.444,30907.5,1461,33,000897
603261.SH,立航科技,26.80,-7.777,30900.5,1462,17,603261
300541.SZ,先进数通,8.10,-5.814,30829.0,1463,33,300541
002706.SZ,良信股份,7.68,-2.290,30810.5,1464,33,002706
301578.SZ,辰奕智能,32.79,-9.445,30798.0,1465,33,301578
601928.SH,凤凰传媒,11.13,0.633,30791.0,1466,17,601928
300887.SZ,谱尼测试,7.80,-5.455,30778.0,1467,33,300887
603866.SH,桃李面包,5.61,-2.773,30751.5,1468,17,603866
002126.SZ,银轮股份,18.06,-1.795,30747.0,1469,33,002126
600867.SH,通化东宝,9.07,-1.091,30733.0,1470,17,600867
600348.SH,华阳股份,10.91,1.678,30719.0,1471,17,600348
002317.SZ,众生药业,12.64,-2.619,30699.5,1472,33,002317
301039.SZ,中集车辆,9.16,-0.758,30685.0,1473,33,301039
601375.SH,中原证券,3.50,-1.685,30674.0,1474,17,601375
002182.SZ,宝武镁业,18.43,-1.497,30671.5,1475,33,002182
000839.SZ,ST国安,2.36,-4.453,30642.5,1476,33,000839
002284.SZ,亚太股份,6.74,-7.290,30610.0,1477,33,002284
